fold,horizon,segment,n,n_interval,inside,coverage,avg_width,status,ml_mae,persistence_mae
4,30,운영외·주말,8952,8952,7293,0.8146782841823056,7.969688203420539,pass,2.398315339848218,2.5341075227763894
4,60,전체,11304,11304,8775,0.7762738853503185,13.533039929563662,pass,4.7302633622030354,4.939964904251432
4,60,운영중,2664,2664,1950,0.7319819819819819,17.810219604709456,fail,7.006017208173739,6.7438413115408045
4,60,운영외,8640,8640,6825,0.7899305555555556,12.214242863060376,pass,4.028572593028735,4.383769678670541
4,60,평일,0,0,0,,,unavailable,,
4,60,주말,11304,11304,8775,0.7762738853503185,13.533039929563662,pass,4.7302633622030354,4.939964904251432
4,60,운영중·평일,0,0,0,,,unavailable,,
4,60,운영중·주말,2664,2664,1950,0.7319819819819819,17.810219604709456,fail,7.006017208173739,6.7438413115408045
4,60,운영외·평일,0,0,0,,,unavailable,,
4,60,운영외·주말,8640,8640,6825,0.7899305555555556,12.214242863060376,pass,4.028572593028735,4.383769678670541
4,120,전체,10680,10680,8211,0.7688202247191012,20.730726764802533,fail,7.766040270502891,8.431612864921544
4,120,운영중,2556,2556,1972,0.7715179968701096,27.241530628024602,pass,10.776889138939863,10.257924161657469
4,120,운영외,8124,8124,6239,0.767971442639094,18.682275918618927,fail,6.8187569485278905,7.8570127080459855
4,120,평일,0,0,0,,,unavailable,,
4,120,주말,10680,10680,8211,0.7688202247191012,20.730726764802533,fail,7.766040270502891,8.431612864921544
4,120,운영중·평일,0,0,0,,,unavailable,,
4,120,운영중·주말,2556,2556,1972,0.7715179968701096,27.241530628024602,pass,10.776889138939863,10.257924161657469
4,120,운영외·평일,0,0,0,,,unavailable,,
4,120,운영외·주말,8124,8124,6239,0.767971442639094,18.682275918618927,fail,6.8187569485278905,7.8570127080459855
4,240,전체,9612,9612,7305,0.7599875156054932,30.78920572299069,fail,11.33731005986455,14.135141952847663
4,240,운영중,2388,2388,1864,0.7805695142378559,40.60252404973916,pass,15.7663289655484,15.347694539359576
4,240,운영외,7224,7224,5441,0.7531838316722038,27.5452682694642,fail,9.873232381739822,13.734314768934256
4,240,평일,0,0,0,,,unavailable,,
4,240,주말,9612,9612,7305,0.7599875156054932,30.78920572299069,fail,11.33731005986455,14.135141952847663
4,240,운영중·평일,0,0,0,,,unavailable,,
4,240,운영중·주말,2388,2388,1864,0.7805695142378559,40.60252404973916,pass,15.7663289655484,15.347694539359576
4,240,운영외·평일,0,0,0,,,unavailable,,
4,240,운영외·주말,7224,7224,5441,0.7531838316722038,27.5452682694642,fail,9.873232381739822,13.734314768934256
4,360,전체,8568,8568,6781,0.7914332399626517,40.212777573857274,pass,14.761092589331454,18.575075574962153
4,360,운영중,2256,2256,1699,0.7531028368794326,53.47276825018138,fail,20.88747666454218,18.773596818198605
4,360,운영외,6312,6312,5082,0.8051330798479087,35.473465316920134,pass,12.571434402754237,18.50412121426167
4,360,평일,0,0,0,,,unavailable,,
4,360,주말,8568,8568,6781,0.7914332399626517,40.212777573857274,pass,14.761092589331454,18.575075574962153
4,360,운영중·평일,0,0,0,,,unavailable,,
4,360,운영중·주말,2256,2256,1699,0.7531028368794326,53.47276825018138,fail,20.88747666454218,18.773596818198605
4,360,운영외·평일,0,0,0,,,unavailable,,
4,360,운영외·주말,6312,6312,5082,0.8051330798479087,35.473465316920134,pass,12.571434402754237,18.50412121426167
5,15,전체,15126,0,0,,,unavailable,2.2170626986190882,2.343182177986192
