prk_center_id,name,cells,la,lo,klass,confidence,b_sig,p_sig,std_match
30083-29391-00119-00-1,,3,37.4189553205,126.9238281858,부설,0.9,False,False,False
30083-29391-00120-00-1,,3,37.4190419722,126.9240675896,부설,0.9,False,False,False
30083-29391-00121-00-1,안양 파빌리온,7,37.4194682351,126.9256125668,부설,0.9,True,False,False
30083-29391-00122-00-1,.,4,37.4199518355,126.9266604418,애매,0.3,False,False,False
30083-29391-00123-00-1,라마나욧빌딩,5,37.4199807577,126.9268050141,부설,0.9,True,False,False
30083-29391-00124-00-1,,5,37.4201041386,126.9281786012,부설,0.9,False,False,False
30083-29391-00125-00-1,,3,37.4201079836,126.9285762496,부설,0.9,False,False,False
30083-29391-00126-00-1,,4,37.4197073187,126.9275689489,부설,0.9,False,False,False
30083-29391-00127-00-1,,4,37.41976173,126.9281427782,부설,0.9,False,False,False
30083-29391-00128-00-1,진영빌딩,5,37.4198016021,126.9285177968,부설,0.9,True,False,False
30083-29391-00129-00-1,예술공원빌,7,37.4196435795,126.9294442899,부설,0.9,True,True,False
30083-29391-00130-00-1,,4,37.4194888169,126.9298014153,부설,0.9,False,False,False
30083-29391-00131-00-1,,13,37.4193160543,126.9301947058,애매,0.3,False,False,False
30083-29391-00132-00-1,,6,37.418159885,126.9314564842,부설,0.9,False,False,False
30083-29391-00146-00-1,,2,37.4160828217,126.9132893602,부설,0.9,False,False,False
30083-29391-00147-00-1,,1,37.4161082785,126.9136011097,부설,0.9,False,False,False
30083-29391-00148-00-1,,7,37.4161727509,126.9130542926,부설,0.9,False,False,False
30083-29391-00149-00-1,,5,37.4159303746,126.9118345718,부설,0.9,False,False,False
30083-29391-00152-00-1,,1,37.4137192994,126.9094830824,부설,0.9,False,False,False
30083-29391-00153-00-1,,1,37.413773678,126.9098987091,부설,0.9,False,False,False
30083-29391-00154-00-1,,3,37.4132582233,126.9098044409,부설,0.9,False,False,False
30083-29391-00155-00-1,,7,37.413542179,126.9088055387,부설,0.9,False,False,False
30083-29391-00156-00-1,,4,37.4128468191,126.9091000736,부설,0.9,False,False,False
30083-29391-00157-00-1,,16,37.4130667092,126.9091540281,애매,0.3,False,False,False
30083-29391-00158-00-1,,12,37.4146622816,126.9078191595,애매,0.3,False,False,False
30083-29391-00159-00-1,,3,37.413453867,126.9064832018,부설,0.9,False,False,False
30083-29391-00160-00-1,삼화연립,5,37.4134180903,126.9068176058,애매,0.3,False,False,False
30083-29391-00161-00-1,,4,37.4133098041,126.9066098951,부설,0.9,False,False,False
